Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Country
6300001,Wenger's,103,Gurgaon,"Address 0, Gurgaon","Locality 0, Gurgaon","Locality 0, Gurgaon, India",84.22229,15.197878,"Italian, Japanese, Mediterranean",2975,Indian Rupees(Rs.),No,Yes,Yes,Yes,2,1.2,White,Poor,328,India
6300002,Starbucks,180,Gurgaon,"Address 1, Gurgaon","Locality 1, Gurgaon","Locality 1, Gurgaon, India",67.720462,9.357024,Chinese,2462,Indian Rupees(Rs.),Yes,Yes,Yes,Yes,3,2.5,Red,Average,341,India
6300003,Burger King,93,New Delhi,"Address 2, New Delhi","Locality 2, New Delhi","Locality 2, New Delhi, India",77.100502,28.17559,North Indian,2750,Indian Rupees(Rs.),No,Yes,No,No,2,4.1,Green,Very Good,527,India
6300004,Bengali Sweet House,15,Faridabad,"Address 3, Faridabad","Locality 3, Faridabad","Locality 3, Faridabad, India",87.33636,14.114976,"South Indian, Thai",2178,Indian Rupees(Rs.),No,Yes,No,Yes,2,3.5,Orange,Good,639,India
6300005,Pind Balluchi,107,New Delhi,"Address 4, New Delhi","Locality 4, New Delhi","Locality 4, New Delhi, India",77.663754,29.076762,"Mughlai, Bengali, South Indian",1423,Indian Rupees(Rs.),No,No,No,No,1,3.1,Red,Average,688,India
6300006,Oh! Calcutta,72,New Delhi,"Address 5, New Delhi","Locality 5, New Delhi","Locality 5, New Delhi, India",77.240455,28.93481,"South Indian, Chinese",403,Indian Rupees(Rs.),No,No,Yes,No,3,1.0,White,Poor,118,India
6300007,Mainland China,189,New Delhi,"Address 6, New Delhi","Locality 6, New Delhi","Locality 6, New Delhi, India",77.102242,28.734991,Continental,2295,Indian Rupees(Rs.),No,No,No,No,3,2.7,Red,Average,182,India
6300008,Cafe Coffee Day,21,Ghaziabad,"Address 7, Ghaziabad","Locality 7, Ghaziabad","Locality 7, Ghaziabad, India",75.172324,13.980449,Bengali,1464,Indian Rupees(Rs.),Yes,No,No,No,4,1.6,White,Poor,580,India
6300009,Bengali Sweet House,103,Gurgaon,"Address 8, Gurgaon","Locality 8, Gurgaon","Locality 8, Gurgaon, India",72.852897,23.305347,Fast Food,2867,Indian Rupees(Rs.),Yes,No,No,No,1,2.8,Red,Average,490,India
6300010,Subway,122,New Delhi,"Address 9, New Delhi","Locality 9, New Delhi","Locality 9, New Delhi, India",77.653613,28.65995,French,1321,Indian Rupees(Rs.),No,No,No,No,2,5.0,Dark Green,Excellent,506,India
6300011,Moti Mahal,211,Noida,"Address 10, Noida","Locality 10, Noida","Locality 10, Noida, India",68.374915,30.596642,"Mexican, Mughlai",801,Indian Rupees(Rs.),Yes,Yes,Yes,No,1,4.5,Dark Green,Excellent,325,India
6300012,Bengali Sweet House,215,Ghaziabad,"Address 11, Ghaziabad","Locality 11, Ghaziabad","Locality 11, Ghaziabad, India",84.602948,9.55186,Mughlai,722,Indian Rupees(Rs.),No,No,No,No,2,2.2,White,Poor,868,India
6300013,Baskin Robbins,75,New Delhi,"Address 12, New Delhi","Locality 12, New Delhi","Locality 12, New Delhi, India",76.844843,28.78766,Bengali,455,Indian Rupees(Rs.),Yes,Yes,Yes,No,4,3.4,Red,Average,704,India
6300014,McDonald's,203,New Delhi,"Address 13, New Delhi","Locality 13, New Delhi","Locality 13, New Delhi, India",76.720234,28.266573,"Thai, Rajasthani, Mediterranean",1485,Indian Rupees(Rs.),No,No,No,No,2,3.0,Red,Average,194,India
6300015,Amul,88,Ghaziabad,"Address 14, Ghaziabad","Locality 14, Ghaziabad","Locality 14, Ghaziabad, India",74.756307,30.688501,Continental,2108,Indian Rupees(Rs.),No,No,No,No,3,1.5,White,Poor,178,India
6300016,Chili's,117,Gurgaon,"Address 15, Gurgaon","Locality 15, Gurgaon","Locality 15, Gurgaon, India",73.864306,15.550459,"Street Food, Fast Food, Bengali",1092,Indian Rupees(Rs.),Yes,No,No,No,4,5.0,Dark Green,Excellent,968,India
6300017,Pizza Hut,100,Faridabad,"Address 16, Faridabad","Locality 16, Faridabad","Locality 16, Faridabad, India",82.247666,26.340218,"Continental, Mexican, Fast Food",2497,Indian Rupees(Rs.),No,No,No,No,2,2.7,Red,Average,559,India
6300018,Burger King,104,Faridabad,"Address 17, Faridabad","Locality 17, Faridabad","Locality 17, Faridabad, India",82.009433,32.111486,Mughlai,1603,Indian Rupees(Rs.),Yes,Yes,Yes,Yes,4,3.0,Red,Average,964,India
6300019,McDonald's,152,Faridabad,"Address 18, Faridabad","Locality 18, Faridabad","Locality 18, Faridabad, India",72.235489,13.359375,American,1315,Indian Rupees(Rs.),No,No,Yes,No,3,3.6,Orange,Good,909,India
6300020,Barbeque Nation,131,Faridabad,"Address 19, Faridabad","Locality 19, Faridabad","Locality 19, Faridabad, India",87.586281,23.200267,Mughlai,279,Indian Rupees(Rs.),Yes,No,No,No,3,1.8,White,Poor,654,India
6300021,Mainland China,150,Faridabad,"Address 20, Faridabad","Locality 20, Faridabad","Locality 20, Faridabad, India",78.239646,30.00413,"Mediterranean, Punjabi",433,Indian Rupees(Rs.),No,No,No,No,1,1.9,White,Poor,9,India
6300022,Gloria Jean's,53,New Delhi,"Address 21, New Delhi","Locality 21, New Delhi","Locality 21, New Delhi, India",77.363554,29.10343,American,267,Indian Rupees(Rs.),No,No,No,No,2,1.8,White,Poor,412,India
6300023,Mother Dairy,2,New Delhi,"Address 22, New Delhi","Locality 22, New Delhi","Locality 22, New Delhi, India",77.452633,28.451986,"Mediterranean, Beverages",2200,Indian Rupees(Rs.),Yes,No,Yes,Yes,4,2.5,Red,Average,934,India
6300024,Burger King,88,Noida,"Address 23, Noida","Locality 23, Noida","Locality 23, Noida, India",87.588218,8.464363,"Beverages, Japanese, Punjabi",1690,Indian Rupees(Rs.),Yes,No,No,No,1,1.8,White,Poor,524,India
6300025,Natural Ice Cream,158,Noida,"Address 24, Noida","Locality 24, Noida","Locality 24, Noida, India",88.826413,17.150206,"Thai, Chinese",1116,Indian Rupees(Rs.),No,No,Yes,No,4,4.7,Dark Green,Excellent,604,India
6300026,Saravana Bhavan,38,Faridabad,"Address 25, Faridabad","Locality 25, Faridabad","Locality 25, Faridabad, India",68.745068,34.383298,"Fast Food, Mexican, North Indian",1194,Indian Rupees(Rs.),Yes,No,No,Yes,1,3.9,Orange,Good,13,India
6300027,Kake Di Hatti,130,Faridabad,"Address 26, Faridabad","Locality 26, Faridabad","Locality 26, Faridabad, India",72.366453,15.578931,"Continental, Bakery, Beverages",449,Indian Rupees(Rs.),No,No,No,No,1,4.6,Dark Green,Excellent,277,India
6300028,United Coffee House,192,New Delhi,"Address 27, New Delhi","Locality 27, New Delhi","Locality 27, New Delhi, India",77.217848,28.41234,Italian,580,Indian Rupees(Rs.),No,No,No,No,1,4.4,Green,Very Good,439,India
6300029,Gulati,188,Faridabad,"Address 28, Faridabad","Locality 28, Faridabad","Locality 28, Faridabad, India",85.719737,23.951942,"Bengali, Continental, Mexican",838,Indian Rupees(Rs.),No,No,Yes,No,3,3.8,Orange,Good,38,India
